Year,Month,Manufacturer,Model,Sales,Region
2014,June,Toyota,Sedan,3653,Tohoku
2010,June,Subaru,Sedan,3693,Tohoku
2010,October,Honda,SUV,1216,Tohoku
2018,October,Honda,SUV,3768,Hokkaido
2020,September,Nissan,Convertible,2009,Kanto
2018,March,Nissan,Sedan,3871,Chugoku
2023,January,Subaru,Convertible,3728,Kyushu
2019,December,Toyota,Hatchback,2375,Kyushu
2012,December,Toyota,Convertible,3034,Chugoku
2013,November,Honda,Truck,2660,Kansai
2015,December,Subaru,SUV,4031,Chubu
2014,April,Nissan,Truck,3776,Kyushu
2013,October,Nissan,SUV,2842,Kyushu
2011,October,Honda,Sedan,4512,Tohoku
2016,May,Nissan,Truck,2139,Chubu
2018,July,Subaru,Hatchback,3317,Kyushu
2020,November,Subaru,Sedan,3515,Kansai
2024,December,Subaru,Sedan,3269,Tohoku
2012,September,Subaru,Convertible,3322,Kyushu
2024,April,Mazda,Hatchback,3067,Hokkaido
2015,November,Subaru,Sedan,4786,Kyushu
2012,December,Toyota,Hatchback,3978,Kyushu
2021,June,Honda,Sedan,3347,Kanto
2018,June,Nissan,SUV,4209,Tohoku
2022,August,Nissan,SUV,4151,Kanto
2019,January,Nissan,SUV,3059,Kanto
2020,January,Honda,Convertible,4973,Chugoku
2018,August,Subaru,SUV,2657,Tohoku
2017,December,Mazda,Convertible,4409,Chugoku
2020,November,Honda,SUV,4968,Hokkaido
2012,April,Honda,Hatchback,1806,Shikoku
2010,August,Subaru,Truck,1533,Hokkaido
2014,January,Subaru,Hatchback,2533,Kansai
2013,February,Honda,SUV,4995,Chubu
2022,February,Honda,Sedan,2637,Kanto
2015,July,Mazda,Hatchback,3827,Shikoku
2012,September,Nissan,Truck,3496,Kyushu
2015,August,Mazda,Hatchback,1647,Kansai
2019,May,Toyota,Sedan,4544,Kyushu
2010,February,Subaru,SUV,1479,Tohoku
2012,October,Mazda,Hatchback,4080,Hokkaido
2024,August,Toyota,Truck,2106,Kyushu
2017,December,Toyota,SUV,3633,Hokkaido
2015,April,Nissan,Convertible,4609,Kyushu
2024,July,Subaru,Sedan,2557,Shikoku
2018,October,Mazda,Convertible,2430,Kansai
2018,May,Mazda,Truck,1316,Chugoku
2014,August,Nissan,SUV,1067,Shikoku
2011,October,Mazda,Sedan,3525,Kansai
2012,March,Toyota,Truck,3544,Tohoku
2021,May,Subaru,Convertible,1307,Kansai
2021,January,Nissan,Hatchback,4017,Shikoku
2020,November,Honda,SUV,4049,Kyushu
2011,September,Subaru,Truck,1419,Kanto
2022,November,Mazda,Truck,2603,Shikoku
2011,March,Nissan,Hatchback,4422,Chubu
2011,September,Honda,SUV,2494,Kansai
2011,December,Toyota,SUV,1037,Kanto
2013,October,Mazda,Truck,1291,Tohoku
2014,July,Subaru,Hatchback,1225,Tohoku
2013,May,Honda,Truck,4917,Kansai
2013,June,Honda,Convertible,4737,Hokkaido
2024,May,Toyota,Hatchback,1815,Kanto
2013,April,Nissan,Sedan,1237,Kyushu
2023,March,Subaru,Sedan,2225,Tohoku
2020,March,Subaru,SUV,1895,Chugoku
2023,September,Nissan,Hatchback,4672,Chubu
2022,October,Mazda,Sedan,2629,Hokkaido
2013,November,Subaru,Sedan,2417,Tohoku
2021,November,Nissan,SUV,3634,Kansai
2012,February,Subaru,Truck,4160,Tohoku
2017,September,Honda,SUV,1273,Kansai
2012,September,Toyota,Hatchback,2069,Chugoku
2024,September,Mazda,Hatchback,3428,Tohoku
2011,July,Nissan,SUV,1547,Chubu
2023,October,Toyota,Sedan,4287,Chugoku
2021,December,Subaru,SUV,1745,Kyushu
2023,May,Toyota,Sedan,3581,Kyushu
2012,May,Toyota,Sedan,4254,Chubu
2015,September,Toyota,Convertible,2842,Kyushu
2010,September,Toyota,Sedan,2269,Kyushu
2019,March,Honda,Sedan,1094,Hokkaido
2010,September,Toyota,Hatchback,3166,Kanto
2021,July,Mazda,Hatchback,3527,Kanto
2011,May,Honda,Sedan,3706,Hokkaido
2011,June,Mazda,SUV,2249,Hokkaido
2024,June,Honda,Convertible,4424,Kansai
2013,March,Subaru,Convertible,2886,Shikoku
2023,January,Toyota,Truck,1799,Tohoku
2024,July,Honda,SUV,3075,Chugoku
2022,May,Honda,Truck,1104,Shikoku
2023,February,Subaru,Truck,4763,Kyushu
2017,January,Subaru,SUV,1760,Chubu
2013,July,Nissan,Truck,1707,Kanto
2016,May,Nissan,Sedan,3286,Hokkaido
2014,March,Honda,Truck,2454,Tohoku
2024,May,Subaru,Truck,3082,Tohoku
2015,September,Subaru,Sedan,2376,Kanto
2019,October,Nissan,SUV,2051,Chugoku
2011,February,Toyota,SUV,3639,Shikoku
2023,December,Honda,Hatchback,1002,Chubu
2024,March,Nissan,SUV,3715,Kansai
2017,December,Toyota,SUV,1670,Kansai
2017,January,Mazda,Hatchback,2941,Tohoku
2011,December,Subaru,Truck,3893,Shikoku
2012,March,Honda,Convertible,2726,Tohoku
2015,February,Toyota,Sedan,4329,Chugoku
2012,August,Subaru,Convertible,1354,Kanto
2024,October,Honda,SUV,4866,Chugoku
2016,July,Mazda,Sedan,2974,Chubu
2013,August,Subaru,SUV,3155,Chugoku
2015,May,Nissan,Truck,1353,Shikoku
2024,October,Toyota,SUV,4979,Tohoku
2018,April,Honda,Hatchback,1770,Shikoku
2011,October,Nissan,Convertible,1186,Tohoku
2013,October,Honda,SUV,4502,Chubu
2015,July,Toyota,SUV,4524,Chugoku
2011,December,Nissan,Truck,2978,Hokkaido
2017,April,Subaru,Sedan,3368,Kanto
2012,May,Nissan,Convertible,4125,Tohoku
2019,October,Subaru,Truck,1441,Chubu
2022,July,Subaru,Convertible,1047,Chubu
2024,February,Subaru,SUV,4013,Hokkaido
2023,May,Toyota,Truck,1131,Chugoku
2014,May,Subaru,Truck,1182,Chubu
2018,September,Mazda,Sedan,2694,Hokkaido
2020,May,Honda,SUV,2922,Chugoku
2020,March,Toyota,SUV,1010,Kyushu
2011,September,Toyota,Hatchback,3766,Kyushu
2012,March,Subaru,Hatchback,3052,Chugoku
2016,July,Toyota,Hatchback,4182,Chugoku
2012,December,Toyota,SUV,4313,Chubu
2024,November,Nissan,Sedan,1872,Tohoku
2019,August,Mazda,SUV,1715,Chugoku
2012,January,Subaru,Sedan,4325,Tohoku
2021,April,Subaru,Hatchback,1369,Chubu
2022,November,Subaru,SUV,2483,Shikoku
2023,December,Honda,SUV,4864,Kansai
2017,April,Mazda,SUV,1109,Hokkaido
2016,July,Mazda,SUV,3555,Hokkaido
2016,November,Nissan,Hatchback,3069,Shikoku
2013,August,Subaru,Hatchback,4145,Chugoku
2013,May,Subaru,Hatchback,2634,Hokkaido
2017,November,Nissan,Truck,2899,Kyushu
2019,February,Honda,Hatchback,3772,Shikoku
2012,May,Subaru,Truck,4497,Kanto
2010,June,Nissan,Hatchback,4754,Kansai
2022,January,Honda,Sedan,1310,Shikoku
2012,January,Mazda,Truck,4789,Tohoku
2017,January,Honda,Truck,3702,Kyushu
2014,June,Subaru,Hatchback,2668,Tohoku
2014,December,Subaru,Sedan,3551,Chubu
2015,April,Toyota,Hatchback,3718,Kansai
2015,February,Mazda,Convertible,3453,Hokkaido
2011,October,Mazda,Truck,3517,Tohoku
2020,January,Subaru,SUV,4252,Kansai
2012,February,Nissan,Hatchback,4785,Chubu
2022,September,Honda,Sedan,2015,Kanto
2010,October,Nissan,Truck,2708,Kyushu
2017,December,Nissan,Convertible,4471,Chugoku
2018,October,Mazda,Truck,4375,Chugoku
2014,September,Toyota,Sedan,2951,Tohoku
2015,January,Toyota,Convertible,4650,Kyushu
2023,January,Honda,Convertible,1020,Shikoku
2017,November,Honda,SUV,1520,Chubu
2021,January,Toyota,SUV,1889,Shikoku
2015,January,Mazda,Sedan,1828,Chubu
2012,December,Honda,Convertible,1912,Shikoku
2020,August,Mazda,Truck,3627,Hokkaido
2015,December,Toyota,Convertible,2205,Tohoku
2017,July,Mazda,Convertible,1113,Chugoku
2012,April,Toyota,Sedan,3185,Kansai
2016,July,Nissan,Sedan,2168,Chubu
2020,January,Subaru,Sedan,3254,Tohoku
2015,January,Mazda,Hatchback,2829,Shikoku
2012,May,Mazda,SUV,2902,Kanto
2012,May,Mazda,SUV,1271,Kyushu
2013,March,Mazda,SUV,4326,Kyushu
2019,January,Toyota,SUV,4169,Hokkaido
2023,July,Subaru,SUV,4291,Hokkaido
2023,August,Mazda,Convertible,1062,Shikoku
2010,February,Mazda,SUV,3747,Kansai
2024,October,Toyota,Convertible,4684,Shikoku
2014,February,Honda,Truck,4904,Hokkaido
2024,May,Subaru,Hatchback,1441,Kanto
2011,May,Toyota,Truck,3689,Hokkaido
2014,December,Nissan,Hatchback,1640,Hokkaido
2010,July,Mazda,Convertible,3613,Tohoku
2023,December,Nissan,Convertible,4395,Chubu
2015,December,Toyota,Convertible,2165,Chugoku
2013,May,Mazda,Convertible,3141,Tohoku
2014,September,Honda,Hatchback,1498,Kanto
2018,October,Nissan,Convertible,1710,Kansai
2021,May,Honda,Convertible,3883,Shikoku
2021,January,Toyota,Sedan,4002,Hokkaido
2022,December,Toyota,SUV,3524,Kyushu
2023,November,Honda,Truck,3021,Chugoku
2012,October,Mazda,SUV,3803,Shikoku
2014,April,Subaru,Truck,1888,Shikoku
2012,September,Subaru,Hatchback,4709,Shikoku
2016,February,Subaru,Sedan,4107,Chubu
2019,June,Subaru,Hatchback,1482,Shikoku
2024,April,Honda,Hatchback,1008,Chubu
2018,September,Mazda,Convertible,2367,Kansai
2019,June,Mazda,Hatchback,2064,Shikoku
2022,August,Toyota,Hatchback,1981,Kyushu
2014,April,Honda,Convertible,2332,Chubu
2022,December,Honda,SUV,2076,Shikoku
2021,March,Nissan,Truck,1758,Chugoku
2017,April,Subaru,Hatchback,2194,Kanto
2023,January,Honda,Sedan,3229,Kyushu
2022,February,Subaru,SUV,3743,Shikoku
2011,January,Mazda,Hatchback,4937,Tohoku
2017,December,Mazda,SUV,4848,Kanto
2019,February,Honda,Hatchback,3261,Tohoku
2022,February,Subaru,Hatchback,1096,Chubu
2019,April,Honda,Sedan,4710,Hokkaido
2019,July,Nissan,SUV,4762,Chubu
2023,February,Toyota,SUV,4131,Shikoku
2024,October,Honda,Truck,2222,Shikoku
2015,March,Subaru,Convertible,3729,Chubu
2021,October,Mazda,Hatchback,2033,Chugoku
2011,July,Subaru,Hatchback,2333,Kansai
2014,April,Subaru,Convertible,3918,Shikoku
2019,August,Mazda,SUV,3745,Tohoku
2016,October,Subaru,Hatchback,1265,Kyushu
2022,September,Honda,Hatchback,3207,Kyushu
2018,August,Honda,Convertible,4538,Hokkaido
2013,October,Mazda,SUV,4030,Kanto
2024,February,Subaru,Hatchback,2689,Tohoku
2012,February,Toyota,Truck,1180,Kanto
2019,March,Nissan,Sedan,2796,Kyushu
2021,July,Mazda,Sedan,4143,Shikoku
2017,October,Mazda,Convertible,1227,Kyushu
2017,December,Nissan,Hatchback,3348,Shikoku
2016,August,Nissan,Convertible,1114,Kansai
2018,February,Nissan,SUV,3052,Shikoku
2016,April,Toyota,SUV,3086,Hokkaido
2015,February,Mazda,Convertible,2763,Kyushu
2023,March,Subaru,Hatchback,3042,Shikoku
2023,November,Toyota,SUV,4787,Shikoku
2014,August,Mazda,Sedan,3537,Shikoku
2014,April,Mazda,Sedan,3753,Chugoku
2010,November,Mazda,Convertible,1152,Kansai
2010,August,Toyota,Hatchback,3749,Kyushu
2016,January,Toyota,SUV,2298,Kanto
2017,January,Nissan,Sedan,4873,Hokkaido
2016,June,Subaru,SUV,3454,Chubu
2021,October,Toyota,Truck,4284,Kyushu
2014,April,Subaru,SUV,3139,Chubu
2017,October,Nissan,Hatchback,1198,Kansai
2019,August,Mazda,SUV,1052,Shikoku
2021,August,Nissan,Convertible,1633,Chubu
2023,July,Honda,Sedan,3406,Kyushu
2015,July,Mazda,SUV,1533,Kansai
2015,November,Mazda,Convertible,3763,Kanto
2023,January,Subaru,Sedan,3633,Kanto
2018,September,Nissan,Sedan,4208,Kansai
2024,June,Subaru,Hatchback,3306,Shikoku
2013,October,Toyota,Hatchback,2141,Tohoku
2019,July,Nissan,Sedan,3189,Shikoku
2010,November,Toyota,Hatchback,4691,Kyushu
2011,April,Subaru,Hatchback,3186,Kanto
2021,October,Toyota,SUV,3028,Kyushu
2022,November,Mazda,Sedan,3079,Chugoku
2024,June,Subaru,Convertible,1964,Chubu
2012,December,Subaru,Truck,1276,Shikoku
2019,June,Toyota,Sedan,1677,Shikoku
2013,March,Nissan,SUV,1109,Chubu
2020,July,Honda,Convertible,2983,Chubu
2022,April,Subaru,Sedan,3887,Kyushu
2018,April,Toyota,Truck,3365,Tohoku
2016,July,Honda,Sedan,1667,Kanto
2020,March,Honda,Hatchback,1206,Hokkaido
2024,January,Subaru,Convertible,2006,Kansai
2020,December,Nissan,SUV,4505,Chubu
2020,January,Subaru,Truck,2499,Hokkaido
2014,March,Mazda,Truck,2700,Tohoku
2020,September,Toyota,Convertible,3435,Chugoku
2013,June,Nissan,Hatchback,1999,Chugoku
2012,February,Toyota,Convertible,3693,Kansai
2015,November,Honda,Hatchback,4738,Hokkaido
2016,April,Subaru,Truck,1702,Tohoku
2010,January,Honda,Truck,1436,Shikoku
2017,June,Honda,Hatchback,2896,Hokkaido
2020,September,Mazda,Convertible,3739,Hokkaido
2014,February,Toyota,Convertible,2135,Kanto
2014,February,Toyota,Truck,1215,Shikoku
2022,December,Toyota,Hatchback,2327,Kyushu
2013,November,Honda,Convertible,2342,Kansai
2017,April,Honda,Sedan,1949,Kyushu
2015,October,Subaru,SUV,2084,Shikoku
2019,February,Mazda,Hatchback,1552,Kyushu
2011,July,Subaru,Truck,3523,Kyushu
2015,December,Toyota,Convertible,1069,Kyushu
2022,July,Mazda,Truck,4446,Chubu
2018,December,Nissan,SUV,1059,Chubu
2015,January,Mazda,Hatchback,1744,Chugoku
2020,February,Mazda,Truck,2329,Chubu
2016,November,Toyota,Truck,4566,Tohoku
2022,June,Honda,Sedan,3785,Tohoku
2013,August,Nissan,Hatchback,1763,Tohoku
2016,November,Honda,Sedan,1279,Kansai
2014,January,Nissan,Sedan,3772,Chubu
2010,August,Nissan,Truck,4951,Kansai
2011,December,Honda,SUV,2274,Tohoku
2013,January,Honda,Convertible,4659,Tohoku
2010,August,Nissan,Hatchback,3972,Kyushu
2017,August,Toyota,Convertible,4936,Chugoku
2012,May,Mazda,SUV,3938,Kansai
2010,December,Nissan,Truck,4073,Kanto
2018,February,Mazda,Hatchback,2222,Kyushu
2010,September,Nissan,Truck,4086,Kyushu
2013,January,Nissan,Hatchback,1924,Kyushu
2013,December,Subaru,Truck,3552,Hokkaido
2014,July,Mazda,SUV,1588,Chubu
2021,September,Subaru,SUV,2424,Chugoku
2016,March,Toyota,SUV,3854,Chubu
2019,January,Nissan,Truck,2123,Tohoku
2013,April,Subaru,Truck,1654,Kyushu
2023,June,Nissan,Sedan,4916,Kyushu
2016,July,Nissan,Truck,3180,Chugoku
2011,December,Nissan,SUV,1286,Hokkaido
2014,August,Mazda,Convertible,1301,Kanto
2016,March,Toyota,SUV,4154,Chugoku
2022,June,Mazda,Hatchback,3359,Tohoku
2023,May,Subaru,Hatchback,3888,Shikoku
2022,January,Mazda,Convertible,1904,Kanto
2013,June,Honda,Sedan,4401,Hokkaido
2016,November,Nissan,Truck,2801,Kyushu
2011,March,Toyota,Truck,3390,Kansai
2016,January,Mazda,Truck,4228,Hokkaido
2018,January,Toyota,SUV,4393,Hokkaido
2023,November,Nissan,Hatchback,3709,Kansai
2014,February,Subaru,Hatchback,3816,Chugoku
2016,February,Nissan,Hatchback,2250,Kyushu
2015,March,Toyota,Sedan,1972,Kanto
2024,December,Mazda,Convertible,4798,Hokkaido
2022,March,Honda,Hatchback,1441,Kyushu
2016,July,Toyota,Sedan,2399,Shikoku
2016,March,Toyota,SUV,2925,Kansai
2022,June,Nissan,SUV,1977,Kyushu
2017,September,Mazda,SUV,2871,Kansai
2015,June,Honda,Convertible,3679,Chubu
2017,March,Toyota,Convertible,1141,Kanto
2022,August,Honda,Truck,4419,Shikoku
2020,October,Toyota,Convertible,2235,Kansai
2021,December,Toyota,Convertible,4605,Tohoku
2019,April,Mazda,Convertible,1267,Hokkaido
2012,November,Subaru,Truck,1305,Shikoku
2021,December,Subaru,Truck,2883,Chugoku
2022,February,Nissan,Hatchback,4909,Chugoku
2014,November,Honda,SUV,1394,Chubu
2018,January,Toyota,Hatchback,2327,Chugoku
2019,November,Nissan,Convertible,3556,Shikoku
2010,July,Nissan,Truck,2091,Shikoku
2022,November,Mazda,Sedan,3838,Hokkaido
2024,December,Nissan,Truck,1320,Hokkaido
2016,July,Honda,Sedan,2262,Kanto
2013,August,Honda,Hatchback,2674,Kyushu
2021,September,Honda,SUV,2946,Tohoku
2015,September,Honda,Convertible,2539,Kansai
2020,March,Toyota,Convertible,1318,Kanto
2018,October,Subaru,Truck,2647,Chubu
2022,March,Toyota,SUV,2158,Kanto
2023,December,Honda,Sedan,2144,Kansai
2017,January,Toyota,Sedan,4530,Kanto
2014,November,Mazda,SUV,4688,Shikoku
2011,July,Honda,Sedan,2521,Kanto
2019,May,Toyota,Hatchback,1083,Kanto
2017,May,Toyota,Sedan,3894,Kyushu
2011,July,Subaru,Hatchback,3793,Hokkaido
2019,December,Honda,Truck,1176,Kansai
2010,January,Honda,Hatchback,4788,Chubu
2015,September,Honda,Sedan,3717,Chubu
2015,November,Mazda,Sedan,2886,Shikoku
2019,January,Subaru,Truck,3884,Kyushu
2016,December,Nissan,Hatchback,3773,Kansai
2018,May,Toyota,Hatchback,3861,Chubu
2012,August,Honda,Sedan,4044,Tohoku
2021,November,Mazda,SUV,1545,Kyushu
2012,July,Toyota,Truck,2818,Tohoku
2012,December,Toyota,Hatchback,4853,Hokkaido
2013,September,Mazda,Truck,3736,Kyushu
2011,June,Mazda,Truck,1697,Tohoku
2020,September,Toyota,Truck,1668,Kyushu
2013,October,Honda,Hatchback,1781,Shikoku
2023,May,Toyota,Hatchback,2932,Kanto
2022,August,Subaru,Truck,1201,Shikoku
2021,February,Nissan,Truck,3937,Kyushu
2022,October,Honda,Truck,2539,Tohoku
2020,December,Toyota,Convertible,1467,Kanto
2015,July,Toyota,Hatchback,3262,Chubu
2022,October,Honda,SUV,3905,Hokkaido
2022,April,Toyota,Hatchback,1787,Shikoku
2021,April,Mazda,Truck,2131,Kyushu
2014,April,Mazda,Truck,1588,Tohoku
2010,September,Mazda,Truck,3672,Kyushu
2022,October,Mazda,Sedan,2250,Kansai
2022,July,Nissan,Truck,4062,Shikoku
2017,June,Subaru,Sedan,1554,Kanto
2024,December,Subaru,Truck,1791,Chugoku
2014,July,Mazda,Truck,4801,Kyushu
2013,August,Subaru,Convertible,2288,Hokkaido
2022,July,Honda,SUV,4632,Chubu
2011,March,Honda,Truck,3167,Kansai
2016,April,Toyota,Sedan,2750,Chugoku
2024,October,Subaru,Hatchback,4950,Kyushu
2015,December,Subaru,Convertible,3967,Tohoku
2013,January,Toyota,Convertible,3749,Kansai
2010,June,Toyota,Sedan,4664,Kyushu
2019,December,Honda,Convertible,2393,Chubu
2024,April,Mazda,Convertible,1825,Chubu
2022,August,Honda,Truck,1211,Chubu
2022,October,Toyota,Truck,2655,Hokkaido
2023,May,Toyota,Truck,3455,Hokkaido
2019,November,Toyota,SUV,3955,Shikoku
2021,April,Toyota,Truck,3871,Chugoku
2024,March,Subaru,Hatchback,2898,Hokkaido
2022,November,Toyota,Sedan,3469,Kansai
2012,January,Nissan,Convertible,2625,Kanto
2015,December,Honda,Convertible,2267,Chugoku
2020,May,Nissan,SUV,2109,Chugoku
2018,October,Honda,Hatchback,1916,Kyushu
2015,November,Subaru,Convertible,3075,Kansai
2015,November,Subaru,SUV,2474,Hokkaido
2014,July,Mazda,Sedan,1824,Shikoku
2018,June,Nissan,Truck,4614,Chugoku
2015,January,Toyota,Convertible,4536,Kyushu
2023,December,Honda,SUV,3769,Kansai
2013,February,Toyota,Sedan,1376,Tohoku
2022,April,Subaru,Sedan,3619,Kansai
2023,October,Honda,Truck,2915,Chugoku
2016,June,Toyota,Truck,4527,Tohoku
2012,March,Honda,Truck,2792,Shikoku
2024,January,Toyota,SUV,2316,Hokkaido
2014,August,Subaru,SUV,4413,Kansai
2024,August,Toyota,Hatchback,3362,Chubu
2024,June,Mazda,Sedan,2956,Hokkaido
2018,December,Nissan,Truck,2636,Kansai
2023,August,Toyota,Sedan,2945,Tohoku
2024,June,Nissan,Sedan,3671,Hokkaido
2017,July,Nissan,SUV,4622,Chubu
2024,May,Mazda,Truck,2713,Chugoku
2017,July,Subaru,SUV,2273,Hokkaido
2019,October,Toyota,SUV,2838,Shikoku
2024,April,Mazda,Convertible,2574,Kanto
2014,August,Nissan,SUV,1204,Hokkaido
2015,April,Honda,SUV,1113,Kyushu
2012,May,Mazda,Convertible,4432,Hokkaido
2015,September,Nissan,Hatchback,4454,Tohoku
2016,February,Honda,SUV,2180,Hokkaido
2023,September,Nissan,Hatchback,4234,Kyushu
2023,August,Mazda,SUV,1526,Kansai
2011,December,Subaru,Hatchback,1904,Kanto
2024,December,Mazda,Truck,4275,Hokkaido
2013,October,Honda,SUV,2292,Tohoku
2024,April,Toyota,Truck,3961,Kanto
2023,April,Subaru,Truck,2106,Hokkaido
2024,November,Mazda,Hatchback,2770,Tohoku
2019,June,Honda,Truck,3941,Chugoku
2021,May,Mazda,Sedan,4685,Kansai
2014,July,Toyota,Truck,1558,Hokkaido
2014,August,Toyota,SUV,3667,Tohoku
2023,July,Mazda,Convertible,1708,Chubu
2011,March,Nissan,Truck,1550,Kanto
2011,October,Mazda,Truck,3735,Kanto
2022,July,Mazda,Sedan,1167,Chubu
2013,November,Honda,Sedan,3163,Chubu
2022,November,Toyota,Truck,1384,Chugoku
2011,May,Honda,SUV,1636,Kanto
2014,August,Nissan,Truck,3252,Hokkaido
2011,August,Mazda,Convertible,4336,Hokkaido
2015,December,Toyota,Sedan,3500,Kyushu
2011,August,Subaru,SUV,2064,Kanto
2013,April,Nissan,Sedan,4530,Chubu
2018,September,Honda,Hatchback,1735,Chugoku
2022,May,Toyota,Sedan,1576,Hokkaido
2014,July,Subaru,Hatchback,2547,Kyushu
2022,March,Mazda,SUV,1226,Chubu
2010,July,Mazda,SUV,1330,Hokkaido
2020,November,Toyota,Sedan,2992,Kyushu
2018,June,Nissan,SUV,3650,Shikoku
2017,February,Toyota,Sedan,1170,Tohoku
2022,March,Honda,SUV,2564,Shikoku
2012,September,Toyota,Hatchback,2545,Chugoku
2010,February,Nissan,Convertible,4376,Chugoku
2022,November,Mazda,Convertible,4276,Kyushu
2013,December,Toyota,SUV,3289,Kansai
2012,December,Toyota,Hatchback,2520,Chugoku
2012,September,Honda,Truck,1648,Shikoku
2016,December,Nissan,Sedan,2911,Hokkaido
2012,November,Toyota,SUV,1622,Kansai
2022,October,Subaru,Convertible,4221,Chubu
2012,June,Toyota,Sedan,1136,Chugoku
2018,September,Toyota,Hatchback,1848,Chugoku
2012,November,Toyota,Convertible,4004,Kanto
2024,May,Subaru,Convertible,2797,Shikoku
2014,November,Honda,SUV,2379,Chugoku
2019,July,Nissan,SUV,4400,Hokkaido
2017,October,Honda,Convertible,1271,Kanto
2014,January,Toyota,SUV,3718,Tohoku
2010,July,Honda,Sedan,4772,Kanto
2011,March,Toyota,Truck,4711,Chugoku
2017,March,Mazda,Convertible,1363,Chubu
2010,October,Toyota,Truck,3816,Chugoku
2023,April,Subaru,Hatchback,2367,Hokkaido
2018,November,Toyota,Truck,3821,Hokkaido
2019,April,Subaru,Sedan,3169,Hokkaido
2015,May,Subaru,Sedan,1958,Hokkaido
2023,February,Nissan,Hatchback,2757,Chubu
2011,May,Mazda,Truck,4926,Chubu
2023,March,Mazda,Convertible,3410,Kansai
2017,October,Toyota,Convertible,2518,Chubu
2024,January,Subaru,Truck,1445,Hokkaido
2020,March,Honda,Hatchback,2345,Shikoku
2023,March,Honda,Sedan,3705,Tohoku
2014,October,Honda,Hatchback,2331,Chugoku
2023,January,Mazda,Hatchback,4567,Shikoku
2018,February,Toyota,SUV,3547,Hokkaido
2016,February,Honda,SUV,4534,Kansai
2012,July,Nissan,Hatchback,1292,Chugoku
2010,October,Nissan,Hatchback,1265,Chubu
2012,June,Toyota,SUV,3318,Chubu
2017,May,Nissan,SUV,1368,Kansai
2010,September,Subaru,Hatchback,3615,Hokkaido
2012,July,Subaru,Sedan,2482,Kanto
2024,January,Mazda,Convertible,4808,Kansai
2016,April,Nissan,Hatchback,1024,Kansai
2019,July,Honda,SUV,4849,Hokkaido
2023,October,Toyota,Convertible,1825,Kanto
2019,January,Nissan,SUV,1489,Chugoku
2019,April,Nissan,Convertible,1733,Chubu
2013,December,Mazda,Convertible,2856,Tohoku
2013,March,Subaru,SUV,1674,Kansai
2010,November,Toyota,Truck,1233,Shikoku
2021,February,Toyota,Sedan,3833,Chubu
2012,June,Toyota,Sedan,1429,Shikoku
2020,June,Nissan,Truck,2100,Kyushu
2015,January,Subaru,Convertible,1593,Tohoku
2016,July,Honda,Truck,3788,Kansai
2010,March,Toyota,Truck,4283,Chubu
2016,January,Mazda,Convertible,4658,Kansai
2024,November,Mazda,SUV,1653,Tohoku
2010,January,Nissan,Convertible,2880,Chubu
2011,August,Nissan,Truck,2917,Kanto
2017,September,Mazda,Truck,1938,Kansai
2020,March,Nissan,Convertible,2705,Kansai
2024,October,Subaru,Sedan,2546,Tohoku
2013,February,Honda,Convertible,1150,Chugoku
2024,December,Honda,Truck,3749,Chugoku
2017,July,Nissan,Hatchback,4982,Hokkaido
2011,November,Mazda,Truck,4848,Chugoku
2023,June,Subaru,Hatchback,3001,Kansai
2024,May,Subaru,Truck,1733,Tohoku
2023,November,Mazda,Truck,3323,Kansai
2018,October,Mazda,Sedan,3162,Hokkaido
2023,April,Nissan,Hatchback,1602,Chugoku
2014,February,Toyota,Hatchback,1300,Hokkaido
2015,November,Subaru,Convertible,2938,Kyushu
2010,April,Subaru,SUV,2005,Chugoku
2023,February,Subaru,Hatchback,1505,Chugoku
2012,February,Honda,Truck,4443,Shikoku
2019,June,Toyota,SUV,4155,Hokkaido
2017,July,Toyota,Hatchback,1003,Tohoku
2019,August,Toyota,Truck,2174,Kanto
2011,December,Toyota,Sedan,1273,Chugoku
2021,February,Honda,Sedan,3354,Kansai
2022,February,Toyota,Sedan,4879,Hokkaido
2022,December,Mazda,Hatchback,1442,Kanto
2018,August,Subaru,SUV,4891,Kyushu
2023,August,Subaru,Truck,1862,Hokkaido
2019,May,Subaru,Truck,2094,Chugoku
2014,July,Toyota,Convertible,1082,Kyushu
2021,November,Mazda,Hatchback,1844,Chugoku
2017,January,Nissan,Truck,2166,Chugoku
2023,February,Honda,Convertible,1492,Hokkaido
2022,August,Nissan,SUV,4441,Kyushu
2019,September,Nissan,Convertible,3534,Hokkaido
2023,June,Honda,Hatchback,1384,Kyushu
2019,April,Mazda,Hatchback,4719,Kyushu
2022,September,Nissan,Truck,4936,Tohoku
2016,February,Toyota,SUV,1078,Tohoku
2019,January,Honda,SUV,3825,Kansai
2016,October,Mazda,Convertible,1391,Chugoku
2019,February,Subaru,Convertible,4127,Chubu
2017,August,Honda,Sedan,2386,Tohoku
2017,May,Toyota,SUV,2387,Kyushu
2010,March,Honda,Convertible,2315,Kanto
2013,November,Subaru,Sedan,4725,Hokkaido
2017,April,Subaru,Convertible,1082,Kanto
2014,May,Nissan,Truck,3103,Hokkaido
2012,July,Mazda,Convertible,4751,Tohoku
2021,August,Subaru,Sedan,2244,Kansai
2020,January,Subaru,SUV,3028,Hokkaido
2012,August,Toyota,Hatchback,4383,Kyushu
2023,November,Subaru,SUV,1774,Shikoku
